x,y,z,yaw,velocity,change_flag
-14805.8,-84718.3,41.7866,-2.04302,40.0000,0
-14807.4,-84716.4,41.7151,-2.0419,40.0000,0
-14809,-84714.5,41.6776,-2.03962,40.0000,0
-14810.6,-84712.7,41.6093,-2.03786,40.0000,0
-14812.1,-84710.9,41.5546,-2.03236,40.0000,0
-14813.5,-84709.1,41.5235,-2.03649,40.0000,0
-14815,-84707.4,41.4896,-2.04686,40.0000,0
-14816.4,-84705.8,41.4337,-2.06568,40.0000,0
-14817.7,-84704.3,41.4272,-2.10415,40.0000,0
-14819.8,-84702.4,41.3567,-2.23967,40.0000,0
-14821.9,-84701.2,41.0761,-2.43945,40.0000,0
-14824.6,-84700.4,41.0166,-2.65441,40.0000,0
-14827.4,-84700.3,40.9528,-2.82453,40.0000,0
-14829.9,-84700.6,40.8022,-2.85099,40.0000,0
-14832.2,-84701.4,40.6463,-2.82043,40.0000,0
-14834.2,-84702.1,40.8509,-2.8158,40.0000,0
-14837.1,-84703,41.0297,-2.81694,40.0000,0
-14839.3,-84703.8,41.1654,-2.82454,40.0000,0
-14842.4,-84705,41.2468,-2.82852,40.0000,0
-14844.9,-84705.8,41.3316,-2.8325,40.0000,0
-14846.8,-84706.5,41.4338,-2.83465,40.0000,0
-14849.7,-84707.5,41.3973,-2.83039,40.0000,0
-14852.1,-84708.2,41.4131,-2.8283,40.0000,0
-14854.6,-84709.1,41.4228,-2.8282,40.0000,0
-14857.3,-84710.1,41.455,-2.82609,40.0000,0
-14859.4,-84710.8,41.4894,-2.83154,40.0000,0
-14862.5,-84711.9,41.485,-2.82978,40.0000,0
-14865.1,-84712.7,41.4859,-2.82332,40.0000,0
-14867.8,-84713.6,41.2824,-2.82245,40.0000,0
-14870.7,-84714.7,41.3404,-2.82941,40.0000,0
-14873,-84715.5,41.6386,-2.82606,40.0000,0
-14876.1,-84716.7,41.5557,-2.83003,40.0000,0
-14878.5,-84717.6,41.7447,-2.82742,40.0000,0
